year,era,event,source
1461,Primitive Age,"Pre-The Living Factories - an ancient mechanical life form - are already active, predating all known Galia species. They later interact with humanity when AI begins on Earth",factions/living_factories.md
1461,Primitive Age,"Life begins on the Sogmian homeworld - brutal, primal warfare for hundreds of years",history/eras_of_star_atlas.md
1461,Primitive Age,Life begins on the Sogmian homeworld (later named Segal) - the start of the Primitive Era,species/sogmian.md
1461,Primitive Age,Sogmian civilization first emerges - earliest recorded presence of the Sogmian species in documented galactic history,
1745,Primitive Age,Segal the Wise is born among the Sogmians,history/eras_of_star_atlas.md
1826,Primitive Age,Segal formulates the Du Prah (Sogmian Vows) and establishes the 7 Noble Houses - end of the Primitive Era,history/eras_of_star_atlas.md
1830,Primitive Age,Segal dies - just 4 years after founding the civilization,history/eras_of_star_atlas.md
1940,Primitive Age,The Ka-raviam empire collapsed - cause unknown,geography/sectors/ka_dara.md
1940,Primitive Age,"–2100: Ingbus begins researching resurrection, initially preserving the moral principles of the Ka-raviam civilization - refusing to harm any living creature",geography/sectors/ka_dara.md
1965,Primitive Age,"An ancient civilization on Izar-248 experiments with gravitational technology, causing a catastrophic event that shatters moons and creates a debris ring",history/eras_of_star_atlas.md
1965,Primitive Age,The original Izar civilization collapses in an unknown catastrophe - leaving ruins that become the foundation of Izarian culture,
1965,Primitive Age,The Izar Catastrophe - the advanced Izar civilization collapses; only ruins remain across Izar-248 and adjacent sectors,
2005,Primitive Age,Discovery of Paclets (underground agriculture organisms) by Izar survivors - enables long-term subterranean habitation,
2080,Primitive Age,"Photoli cross into Galia through the Night Window Sector, draining the star's energy to recharge after their journey from Andromeda",species/photoli.md
2086,Primitive Age,A Photoli named Om is saved by the primitive Lumikir - a pre-literate species living on Lumik,factions/scriptorium_of_the_lumikir.md
2086,Primitive Age,Forebears aided the Photoli Om during an epoch of crisis - they were primitive creatures at the time,geography/sectors/lumik.md
2086,Primitive Age,"Photoli Om is saved by primitive creatures in MRZ-27 - he grants them knowledge, and they rename themselves the Lumikir",species/photoli.md
2095,Primitive Age,Photoli inter the Ah'Rihvael family - an ancient Photoli family whose time was over - beneath the oceans of Bluvael's six habitable worlds. They cast an enormous sector-wide illusion to hide the to...,species/photoli.md
2100,Primitive Age,An alien traveler transports TED (the creature that becomes the Great Evernat) to the sector - origin of the living ecosystem,
2101,Primitive Age,Ingbus begins using non-intelligent species in resurrection research at Ka-dara - moral boundaries start to erode,
2112,Primitive Age,The Lumikir erect the Scriptorium - a monumental repository designed to preserve all knowledge they can gather,factions/scriptorium_of_the_lumikir.md
2112,Primitive Age,"Erected by the Lumikir as a monumental repository dedicated to preserving history, truths, and myriad knowledge - irrespective of peril or price",geography/sectors/lumik.md
2112,Primitive Age,Scriptorium of the Lumikir founded at Ka-dara - a knowledge-preserving institution built by the Lumikir species,
2117,Primitive Age,Ingbus strikes a groundbreaking deal with the Lumikir of the Scriptorium,factions/ka_dara.md
2120,Primitive Age,"Ahr visits planet Earth - through illusion, humanity is tricked into forming a space-based religion, plundering the planet, and leaving permanently",species/human.md
2135,Primitive Age,"The Photoli discover the entity sealed beneath Etira - the Dreamer Below. Unable to destroy it, they steal its memories, seal it, and conceal every trace",history/eras_of_star_atlas.md
2136,Primitive Age,Photoli drain Night Window's star energy and construct Dawnbreak - a hidden fortress in the HRZ,species/photoli.md
2140,Primitive Age,Humanity advances towards the stars; Planet Earth is left an empty husk,species/human.md
2155,Primitive Age,The Ustur begin their Path of Enlightenment - spiritual journey of consciousness ascension through sequential stages (.pod → .eldr → .tcher → .soul),history/eras_of_star_atlas.md
2240,Primitive Age,Izar survivors complete centuries of adaptation - biology and psychology permanently changed by underground life,
2280,Primitive Age,"After years of wars and conflicts, Punaabs divide Akenat into two regions - above and below the Sea of Mist",species/punaab.md
2305,Primitive Age,House Busan (Sogmian) creates the first Sogmian ship manufacturer - marking the transition to the Expansion Era,history/eras_of_star_atlas.md
2305,Primitive Age,Sogmians begin ship manufacturing (House Busan),history/eras_of_star_atlas.md
2329,Primitive Age,Punaabs ascend to the stars,species/punaab.md
2331,Primitive Age,A new generation of High and Profound Punaabs build the City in the Middle - the first common meeting place,species/punaab.md
2335,Primitive Age,Frostsun sector colonized by Punaabs,species/punaab.md
2337,Primitive Age,Punaabs create the Ogrika Harbors,species/punaab.md
2340,Primitive Age,Sogmians ascend to the stars,history/eras_of_star_atlas.md
2348,Primitive Age,Coral Nebula discovered - fertile sector with intriguing corals,history/eras_of_star_atlas.md
2348,Primitive Age,A new fertile sector discovered in ONI space (MRZ-18) - first explorers find bioluminescent corals that respond to sentient presence,
2356,Foundation Era,Colonization begins - settlers from multiple ONI-affiliated species establish outposts among the corals,factions/coral_dwellers.md
2356,Foundation Era,Colonization of Coral Nebula begins,history/eras_of_star_atlas.md
2358,Foundation Era,Sogmians create Ki'Prah prison planet in Frenir Sector,history/eras_of_star_atlas.md
2363,Foundation Era,Vega is born on Segal (House Akalma),history/eras_of_star_atlas.md
2364,Foundation Era,Punaabs reached an agreement with Sogmians and also began sending exiles and criminals to Ki'Prah,geography/sectors/frenir.md
2364,Foundation Era,Punaab-Sogmian cooperation begins (Ki'Prah prisoner exchange),history/eras_of_star_atlas.md
2370,Foundation Era,Ingbus begins kidnapping explorers who venture into Ka-dara,factions/ka_dara.md
2377,Foundation Era,The Benevolent Explorers arrive and uplift the Mierese (see above),species/mierese.md
2380,Foundation Era,"Ustur suddenly awaken without recollection of their past on planet Ioki, Eternity Sector",species/ustur.md
2381,Foundation Era,"–2384: Ustur rapidly acquire space travel technology and create VZUS Enterprises; colonize Vostalgia, Soletud, Azut, and Foy Fields",species/ustur.md
2381,Foundation Era,The Elder Spire is constructed and the Path of Enlightenment is enforced through the collective conscience,species/ustur.md
2382,Foundation Era,Vega rises through Akalma ranks,history/eras_of_star_atlas.md
2382,Foundation Era,Celestial Surveyors Syndicate formed in Soletud to lead archaeological expeditions,species/ustur.md
2383,Foundation Era,Armi.eldr born - future faction leader who trains Chior and Ponel; leads Ustur during the Convergence War,
2385,Foundation Era,"In Vostalgia Sector, Ustur discover a deep connection to the native Mantrah trees - as if linked to their species' past before awakening",species/ustur.md
2387,Foundation Era,Ustur begin spreading influence into the Medium Risk Zone,species/ustur.md
2391,Foundation Era,Chior.eldr and Ponel.eldr born - twin pupils of Armi.eldr who will shape post-war Ustur politics,
2392,Foundation Era,A group of atheist Mierese who decided to live free from their species' religious rules found their way to a bountiful planet on MRZ-29,geography/sectors/kamec.md
2392,Foundation Era,Atheist Mierese found the Democratic Order of Kamec in Kamec Sector,species/mierese.md
2396,Foundation Era,Many Mierese begin dreaming of a beautiful landscape where flora is made of minerals that shine in the dark,geography/sectors/glowhaven.md
2396,Foundation Era,Mierese dream of a mineral-based flora - leads to discovery of Glowhaven (MRZ-31),species/mierese.md
2397,Foundation Era,"Lumikir create SDU technology (Survey Data Units) - a tiered classification system for all stored knowledge, later adopted across the galaxy",factions/scriptorium_of_the_lumikir.md
2399,Foundation Era,"Settlements exceeding 1000 citizens see prismatic flora grow out of control, nearly engulfing entire communities. Several settlements are nearly consumed before the pattern is identified",factions/coral_dwellers.md
2399,Foundation Era,Vega becomes House Akalma leader; Rule of 1000 established in Coral Nebula,history/eras_of_star_atlas.md
2399,Foundation Era,MUD finds the Exodus Sector in Galia Expanse and establishes their base,species/human.md
2399,Foundation Era,Mierese begin exploration of dangerous Coral Nebula (MRZ-18),species/mierese.md
2400,Cataclysm Era,Last appearance of God (Ahr) to the MUD - he leaves with the promise of returning once they find their true home,species/human.md
2401,Cataclysm Era,"ECOS dissidence - humans discover Ahr is alien, reject MUD, head for Old Grove",history/eras_of_star_atlas.md
2410,Cataclysm Era,"MUD establishes first safe zone colonies - Valiant-I, Aurora-II, Verzan-III, Amora-IV",species/human.md
